Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price
Air India Express,Kolkata,Banglore,8h 40m,1 stop,No info,13731
Air India,Delhi,Cochin,25h 45m,2 stops,No info,11911
IndiGo,Banglore,Delhi,2h 50m,non-stop,No info,4591
Multiple carriers,Delhi,Cochin,6h 15m,1 stop,No info,14848
Multiple carriers,Delhi,Cochin,10h 30m,1 stop,No info,8266
Air India,Delhi,Cochin,26h,2 stops,No info,12392
Air India Express,Kolkata,Banglore,17h 5m,1 stop,No info,13044
Air India Express,Delhi,Cochin,21h 20m,1 stop,In-flight meal not included,12898
Air India Express,Delhi,Cochin,5h 35m,1 stop,No info,12242
IndiGo,Banglore,Delhi,2h 50m,non-stop,No info,3943
Vistara,Kolkata,Banglore,25h 50m,1 stop,No info,11105
Air India Express,Kolkata,Banglore,12h 10m,1 stop,No info,14388
Air India Express,Delhi,Cochin,17h 5m,2 stops,No info,13014
Multiple carriers,Delhi,Cochin,8h 30m,1 stop,No info,15411
Air India Express,Delhi,Cochin,23h 5m,1 stop,No info,16289
IndiGo,Delhi,Cochin,9h 20m,1 stop,No info,6442
Air India Express,Kolkata,Banglore,7h 55m,1 stop,In-flight meal not included,10844
Air India Express,Mumbai,Hyderabad,1h 30m,non-stop,No info,5678
IndiGo,Banglore,Delhi,2h 50m,non-stop,No info,6906
SpiceJet,Chennai,Kolkata,2h 15m,non-stop,No check-in baggage included,3543
Air India Express,Delhi,Cochin,10h,1 stop,No info,14714
Vistara Premium economy,Banglore,New Delhi,2h 35m,non-stop,No info,11793
Multiple carriers,Delhi,Cochin,7h 45m,1 stop,No info,14323
SpiceJet,Banglore,Delhi,2h 55m,non-stop,No info,3971
Vistara,Kolkata,Banglore,26h 20m,1 stop,No info,8452
Vistara,Banglore,Delhi,2h 40m,non-stop,No info,5403
Multiple carriers,Delhi,Cochin,11h,1 stop,No info,13727
Air India,Kolkata,Banglore,19h 25m,2 stops,No info,12639
Air India Express,Banglore,Delhi,2h 55m,non-stop,In-flight meal not included,5198
Vistara,Banglore,Delhi,2h 45m,non-stop,No info,4878
Air India Express,Delhi,Cochin,23h 15m,1 stop,In-flight meal not included,12373
Multiple carriers,Delhi,Cochin,9h,1 stop,In-flight meal not included,8552
Vistara,Delhi,Cochin,3h 10m,non-stop,No info,6741
Multiple carriers,Delhi,Cochin,6h 25m,1 stop,No info,6481
Multiple carriers,Delhi,Cochin,8h 40m,1 stop,No info,7354
Air India,Banglore,Delhi,2h 50m,non-stop,No info,5228
Air India Express,Kolkata,Banglore,12h 20m,1 stop,In-flight meal not included,10844
IndiGo,Delhi,Cochin,5h 20m,1 stop,No info,6347
Air India,Banglore,New Delhi,4h,1 stop,No info,5013
Air India Express,Kolkata,Banglore,9h 45m,1 stop,In-flight meal not included,9663
IndiGo,Banglore,Delhi,2h 55m,non-stop,No info,4823
Air India,Delhi,Cochin,26h 20m,2 stops,No info,13381
SpiceJet,Chennai,Kolkata,2h 15m,non-stop,No check-in baggage included,3543
Air India Express,Kolkata,Banglore,9h 45m,1 stop,In-flight meal not included,9663
Air India Express,Kolkata,Banglore,24h 55m,1 stop,In-flight meal not included,7064
Air India Express,Delhi,Cochin,11h 55m,1 stop,In-flight meal not included,10262
Air India,Delhi,Cochin,8h 20m,2 stops,No info,13013
Air India Express,Delhi,Cochin,17h 25m,2 stops,No info,15339
GoAir,Banglore,Delhi,2h 50m,non-stop,No info,4937
IndiGo,Delhi,Cochin,7h 5m,1 stop,No info,6818
Air India,Delhi,Cochin,21h 15m,2 stops,No info,10441
Air India Express,Delhi,Cochin,5h,1 stop,In-flight meal not included,5177
IndiGo,Chennai,Kolkata,2h 25m,non-stop,No info,3858
IndiGo,Kolkata,Banglore,5h 15m,1 stop,No info,6534
Multiple carriers,Delhi,Cochin,15h 10m,1 stop,No info,6795
Multiple carriers,Delhi,Cochin,11h 45m,1 stop,No info,9736
Air India Express,Banglore,Delhi,3h,non-stop,No info,7229
SpiceJet,Delhi,Cochin,4h 55m,1 stop,No info,4957
IndiGo,Banglore,New Delhi,2h 45m,non-stop,No info,7648
SpiceJet,Kolkata,Banglore,2h 30m,non-stop,No info,3873
Air India Express,Kolkata,Banglore,9h 45m,1 stop,No info,14388
IndiGo,Kolkata,Banglore,2h 40m,non-stop,No info,5618
Multiple carriers,Delhi,Cochin,6h 30m,1 stop,No info,7408
Air Asia,Delhi,Cochin,5h 30m,1 stop,No info,13774
Vistara,Banglore,Delhi,2h 40m,non-stop,No info,4668
Air India Express,Delhi,Cochin,34h 5m,2 stops,No info,13082
Air India,Delhi,Cochin,15h 25m,1 stop,No info,8669
IndiGo,Delhi,Cochin,9h 30m,1 stop,No info,6316
Air India Express,Delhi,Cochin,6h 5m,1 stop,In-flight meal not included,12583
Vistara,Banglore,New Delhi,2h 40m,non-stop,No info,7923
GoAir,Delhi,Cochin,5h 50m,1 stop,No info,7378
Vistara,Banglore,Delhi,2h 45m,non-stop,No info,4878
Air India Express,Kolkata,Banglore,27h 20m,1 stop,In-flight meal not included,10844
Air India Express,Banglore,Delhi,3h,non-stop,No info,7229
SpiceJet,Delhi,Cochin,5h 15m,1 stop,No info,6297
Air India Express,Kolkata,Banglore,16h,1 stop,In-flight meal not included,8529
Multiple carriers,Delhi,Cochin,7h,1 stop,No info,13727
SpiceJet,Kolkata,Banglore,8h 40m,1 stop,No info,6643
Multiple carriers,Delhi,Cochin,9h,1 stop,No info,10197
SpiceJet,Kolkata,Banglore,2h 20m,non-stop,No info,4911
IndiGo,Chennai,Kolkata,2h 20m,non-stop,No info,6482
Air India Express,Banglore,New Delhi,6h 20m,1 stop,No info,26890
IndiGo,Kolkata,Banglore,4h 25m,1 stop,No info,3717
IndiGo,Chennai,Kolkata,2h 20m,non-stop,No info,3597
Air India,Banglore,New Delhi,11h 5m,2 stops,No info,10846
Air India,Banglore,New Delhi,16h 55m,1 stop,No info,14069
Air India Express,Delhi,Cochin,13h 45m,1 stop,In-flight meal not included,5177
Air India,Delhi,Cochin,25h 45m,2 stops,No info,14641
IndiGo,Delhi,Cochin,13h 55m,1 stop,No info,6442
Air India,Delhi,Cochin,5h 15m,1 stop,No info,5704
Air India Express,Kolkata,Banglore,19h 15m,1 stop,In-flight meal not included,9663
Air India Express,Delhi,Cochin,7h 30m,1 stop,No info,14714
Air India Express,Delhi,Cochin,9h,1 stop,In-flight meal not included,5406
Vistara,Kolkata,Banglore,24h,1 stop,No info,8610
